id,titulo,categoria,tamanio,titulo2,autoridad,descripcion,frecuencia,destacado,source,detalle,que_es,cuando
206,subte viajes molinetes,movilidad,179733220,subte: viajes molinetes,Desarrollo Urbano y Transporte,Cantidad de pasajeros por molinete de todas las estaciones de la red de Subte a partir de Junio de 2013.,Mensual,matrix,molinetes.csv,Molinetes 2018,Cantidad de pasajeros por molinete en cada estación en rangos de a 15 minutos y discriminando según tipo de pasaje correspondiente al año 2018.,01/08/2018
2,alto riesgo fiscal,actividad_economica,77327470,alto riesgo fiscal,Economía y Finanzas,Contiene razón social- CUIT- fecha de publicación y de vigencia de los contribuyentes responsables del Impuesto sobre los Ingresos Brutos considerados de alto riesgo fiscal.,Eventual,,,,,
114,bicicletas publicas,movilidad,65574370,bicicletas publicas,Desarrollo Urbano y Transporte,Información del sistema de transporte público de bicicletas desde sus inicios hasta la actualidad. Recorrido- horarios- detalles de origen y destino de cada uno de los viajes realizados.,Mensual,matrix,bicis.csv,,,
124,flujo vehicular por unidades de peaje ausa,movilidad,65244670,flujo vehicular por unidades de peaje ausa,Desarrollo Urbano y Transporte,Estadísticas históricas del paso de vehículos por las unidades de peaje para el período.,Mensual,,,,,
45,sistema unico de atencion ciudadana,administracion,48023320,sistema unico de atencion ciudadana,Jefatura de Gabinete de Ministros,Descripción de los contactos realizados al Sistema Único de Atención Ciudadana (SUACI). Incluyendo fecha- concepto y referencia geográfica.,Mensual,matrix,sudac.csv,,,
24,codigo de planeamiento urbano,administracion,22410520,codigo de planeamiento urbano,Desarrollo Urbano y Transporte,Mapa del Código de Planeamiento Urbano. Uso del suelo- edificios- estructuras e instalaciones- subdivisión y englobamiento de parcelas- volúmenes edificables- tejido urbano- preservación de ámbitos históricos- etc.,Eventual,,,,,
205,subte trenes despachados,movilidad,15805420,subte: trenes despachados,Desarrollo Urbano y Transporte,Estado de flota y descripción de las formaciones despachadas en todas las líneas del Subte.,Mensual,,,,,
63,areas de proteccion historica,cultura,13558720,areas de proteccion historica,Desarrollo Urbano y Transporte,Información sobre las zonas de la Ciudad consultadas para ser consideradas áreas con valor patrimonial que poseen gran calidad urbana y arquitectónica.,Mensual,,,,,
42,relevamiento usos del suelo,administracion,11131120,relevamiento usos del suelo,Desarrollo Urbano y Transporte,Información de tipología edilicia y usos de todas las parcelas de la urbe.,Bianual,,,,,
38,presupuesto ejecutado,administracion,8649370,presupuesto ejecutado,Economía y Finanzas,Contiene todos los gastos ejecutados que demanda el desenvolvimiento de los órganos del gobierno central- de los entes descentralizados y comunas- el servicio de la deuda pública- las inversiones patrimoniales y los recursos para cubrir tales erogaciones,Trimestral,,,,,
32,elecciones 2015,administracion,8636470,elecciones 2015,Justicia y Seguridad,Información sobre la elección de Jefe y Vicejefe de Gobierno- legisladores y Junta Comunal de la Ciudad de Buenos Aires.,Eventual,,,,,
177,parcelas,urbanismo,7444720,parcelas,Desarrollo Urbano y Transporte,El dataset contiene los polígonos de las parcelas de la Ciudad Autónoma de Buenos Aires.,Quincenal,,,,,
39,presupuesto sancionado,administracion,6411070,presupuesto sancionado,Economía y Finanzas,"Contiene todos los gastos que demande el desenvolvimiento de los órganos del gobierno central, de los entes descentralizados y comunas, el servicio de la deuda pública, las inversiones patrimoniales y los recursos para cubrir tales erogaciones. En particular los recursos publicados detallan la distribución de los créditos aprobados al máximo nivel de desagregación.",Anual,,,,,
