periodo,fecha,desde,hasta,linea,molinete,estacion,pagos,pases_pagos,franq,total
201801,01/01/2018,08:00:00,08:15:00,LINEA_A,LINEA_A_CBARROS_S_TURN01,CASTRO BARROS,1,0,0,1
201801,01/01/2018,08:00:00,08:15:00,LINEA_A,LINEA_A_LIMA_S_TURN03,LIMA,4,0,0,4
201801,01/01/2018,08:00:00,08:15:00,LINEA_A,LINEA_A_PASCO_TURN01,PASCO,1,0,0,1
201801,01/01/2018,08:00:00,08:15:00,LINEA_A,LINEA_A_PERU_S_TURN01,PERU,4,0,0,4
201801,01/01/2018,08:00:00,08:15:00,LINEA_A,LINEA_A_PJUNTA_S_TURN02,PRIMERA JUNTA,2,0,0,2
201801,01/01/2018,08:00:00,08:15:00,LINEA_A,LINEA_A_SANPEDRITO_OESTE_TURN03,SAN PEDRITO,1,0,0,1
201801,01/01/2018,08:00:00,08:15:00,LINEA_B,LINEA_B_ALEM_S_TURN03,LEANDRO N. ALEM,5,0,1,6
201801,01/01/2018,08:00:00,08:15:00,LINEA_B,LINEA_B_ALEM_S_TURN04,LEANDRO N. ALEM,7,0,0,7
201801,01/01/2018,08:00:00,08:15:00,LINEA_B,LINEA_B_FLORIDA_O_TURN03,FLORIDA,2,0,0,2
201801,01/01/2018,08:00:00,08:15:00,LINEA_B,LINEA_B_GARDEL_N_TURN02,CARLOS GARDEL,5,0,0,5
201801,01/
201801,13/01/2018,10:00:00,10:15:00,LINEA_A,LINEA_A_SANPEDRITO_OESTE_TURN03,SAN PEDRITO,6,0,0,6
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_DORREGO_N_TURN02,DORREGO,4,0,2,6
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_DORREGO_N_TURN05,DORREGO,14,0,2,16
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_ECHEVERRIA_OESTE_TURN02,ECHEVERRIA,5,0,0,5
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_FLORIDA_O_TURN02,FLORIDA,6,0,2,8
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_LACROZE_E_TURN01,FEDERICO LACROZE,11,0,0,11
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_LACROZE_O_TURN07,FEDERICO LACROZE,39,0,1,40
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_LACROZE_S_TURN03,FEDERICO LACROZE,3,0,0,3
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_LOSINCAS_TURN06,LOS INCAS,5,0,0,5
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_LOSINCAS_TURN07,LOS INCAS,7,0,0,7
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_MEDRANO_N_TURN04,MEDRANO,0,0,3,3
201801,13/01/2018,10:00:00,10:15:00,LINEA_B,LINEA_B_PASTEUR_N_TURN02,P
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_Miserere_Q_NE_Turn02,Plaza Miserere,6,0,1,7
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_Miserere_Q_NE_Turn04,Plaza Miserere,19,0,0,19
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_Miserere_S_Turn02,Plaza Miserere,31,1,1,33
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_Peru_S_Asc01,Peru,3,0,0,3
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_PJunta_N_Turn02,Primera Junta,24,0,5,29
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_PJunta_N_Turn03,Primera Junta,34,0,3,37
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_PJunta_S_Turn01,Primera Junta,14,0,2,16
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_PJunta_S_Turn03,Primera Junta,9,0,1,10
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_PMayo_E_Turn03,Plaza de Mayo,98,0,5,103
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_RJaneiro_N_Turn03,Rio de Janeiro,40,0,3,43
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_SanPedrito_Este_Turn03,San Pedrito,65,0,6,71
201807,02/07/2018,15:15:00,15:30:00,LineaA,LineaA_SanPedrito_Oeste_Turn05,San Pedrito,27,0,1,28
201807,02/07/2018,15:15:00,15:30:00,LineaB,LineaB_Alem_N_Turn02,Leandro N. Alem,93,1,10,104
201807,02/07/2018,15:15:00,15:30:00,LineaB,LineaB_CallaoB_S_Turn03,Callao.B,75,0,1,76
201807,02/07/2018,15:15:00,15:30:00,LineaB,LineaB_Dorrego_N_Turn05,Dorrego,53,1,3,57
201807,02/07/2018,15:15:00,15:30:00,LineaB,LineaB_Echeverria_Oeste_Turn03,Echeverria,25,0,3,28
201807,02/07/2018,15:15:00,15:30:00,LineaB,LineaB_Gardel_S_Turn02,Carlos Gardel,39,0,0,39
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_BOLIVAR_N_TURN01,BOLIVAR,122,0,3,125
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_BOLIVAR_N_TURN04,BOLIVAR,82,0,0,82
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_EMITRE_TURN01,EMILIO MITRE,25,0,0,25
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_INDEPEN_TURN04,INDEPENDENCIA.H,18,0,0,18
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_LAPLATA_TURN02,AVENIDA LA PLATA,27,0,0,27
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_PICHIN_TURN03,PICHINCHA,21,0,0,21
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_VIRREYES_E_TURN02,PZA. DE LOS VIRREYES,11,0,0,11
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_VIRREYES_E_TURN04,PZA. DE LOS VIRREYES,35,0,0,35
201801,05/01/2018,17:00:00,17:15:00,LINEA_E,LINEA_E_VIRREYES_TURN05,PZA. DE LOS VIRREYES,0,0,0,0
201801,05/01/2018,17:00:00,17:15:00,LINEA_H,LINEA_H_HOSPITALES_NORTE_TURN01,HOSPITALES,27,1,0,28
