id,imagen,nombre,entorno,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,imagen_2,imagen_3,imagen_4,licitacion_oferta_empresa,cuit,licitacion_anio,beneficiarios,mano_obra,compromiso,link_interno,pliego_descarga
58,58-a.png,Antes Paso bajo nivel Av. San Martin,Pasos Bajo Nivel,Finalizada,Transporte,Ministerio de Desarrollo Urbano y Transporte,"El Paso Bajo Nivel San Martin Tiene Una Longitud De 370 Metros, Que Se Extiende Entre Las Calles Pareja Y Asuncion. Cuenta Con Cuatro Carriles, Dos En Cada Sentido Y Su Tunel Presenta Una Altura De 5,10 Metros, Permitiendo La Circulacion De Vehiculos Pesados, Livianos Y Los Colectivos Del Metrobus San Martin.",111988844,11,Villa Devoto,SAN MARTIN AV. Y PAREJA,-34.59386029,-58.50512075,17/01/2014,21/10/2016,34,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio105.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio106.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio108.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio107.jpg,Fontana Nicastro S.A.C. Martinez Y De La Fuente S.A. Ute,33714340609,2013,70000,,,,
58,58-d.png,Despues Paso bajo nivel Av. San Martin,Pasos Bajo Nivel,Finalizada,Transporte,Ministerio de Desarrollo Urbano y Transporte,"El Paso Bajo Nivel San Martin Tiene Una Longitud De 370 Metros, Que Se Extiende Entre Las Calles Pareja Y Asuncion. Cuenta Con Cuatro Carriles, Dos En Cada Sentido Y Su Tunel Presenta Una Altura De 5,10 Metros, Permitiendo La Circulacion De Vehiculos Pesados, Livianos Y Los Colectivos Del Metrobus San Martin.",111988844,11,Villa Devoto,SAN MARTIN AV. Y PAREJA,-34.59386029,-58.50512075,17/01/2014,21/10/2016,34,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio105.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio106.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio108.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio107.jpg,Fontana Nicastro S.A.C. Martinez Y De La Fuente S.A. Ute,33714340609,2013,70000,,,,
96,96-a.png,Antes Centro De Exposiciones Y Convenciones: Ingreso Y Veredas,Centro De Exposiciones Y Convenciones,Finalizada,Arquitectura,Ministerio de Desarrollo Urbano y Transporte,"Dentro De Las Obras Complementarias Al Edificio Del Centro De Exposiciones Y Convenciones, Se Encuentran La Construccion De Su Ingreso Vehicular Y Las Veredas Y Espacio Publico Adyacente A La Calle Brigadier Quiroga Y Al Museo De Arquitectura Y Diseño De La Sca.",10197000,2,Recoleta,FRENCH Y PUEYRREDON AV.,-34.59018563,-58.40036,19/05/2016,19/10/2016,5,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_7.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_9.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_6.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_2.jpg,Personal Propio,,2016,,,,http://www.buenosaires.gob.ar/baobras/Centro-De-exposiciones-Y-Convenciones,
96,96-d.png,Despue Centro De Exposiciones Y Convenciones: Ingreso Y Veredas,Centro De Exposiciones Y Convenciones,Finalizada,Arquitectura,Ministerio de Desarrollo Urbano y Transporte,"Dentro De Las Obras Complementarias Al Edificio Del Centro De Exposiciones Y Convenciones, Se Encuentran La Construccion De Su Ingreso Vehicular Y Las Veredas Y Espacio Publico Adyacente A La Calle Brigadier Quiroga Y Al Museo De Arquitectura Y Diseño De La Sca.",10197000,2,Recoleta,FRENCH Y PUEYRREDON AV.,-34.59018563,-58.40036,19/05/2016,19/10/2016,5,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_7.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_9.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_6.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/centroexposiciones/centro_exposiciones_2.jpg,Personal Propio,,2016,,,,http://www.buenosaires.gob.ar/baobras/Centro-De-exposiciones-Y-Convenciones,
5100,5100-a.png,Antes 9 De Julio Y Av. San Juan (Bajo Puente): Puesta en valor,Plazas y Parques de Comuna 1,Finalizada,Espacio Público,Ministerio de Ambiente y Espacio Público,Espacios Verdes,1200000,1,Constitución,9 De Julio Av. Y San Juan Av.,-34.62214524,-58.38100125,15/03/2017,6/10/2017,3,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/ba-obras/mayep_9dejulio_y_sanjuan_1.JPG,https://cdn2.buenosaires.gob.ar/desarrollourbano/ba-obras/mayep_9dejulio_y_sanjuan_2.jpg,,,Urbaser Argentina S.A - Ceob Sa Ute,30714682489,2017,,,,http://www.buenosaires.gob.ar/baobras/plazas-y-parques-de-comuna-1,http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=117670
5100,5100-d.png,Despues 9 De Julio Y Av. San Juan (Bajo Puente): Puesta en valor,Plazas y Parques de Comuna 1,Finalizada,Espacio Público,Ministerio de Ambiente y Espacio Público,Espacios Verdes,1200000,1,Constitución,9 De Julio Av. Y San Juan Av.,-34.62214524,-58.38100125,15/03/2017,6/10/2017,3,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/ba-obras/mayep_9dejulio_y_sanjuan_1.JPG,https://cdn2.buenosaires.gob.ar/desarrollourbano/ba-obras/mayep_9dejulio_y_sanjuan_2.jpg,,,Urbaser Argentina S.A - Ceob Sa Ute,30714682489,2017,,,,http://www.buenosaires.gob.ar/baobras/plazas-y-parques-de-comuna-1,http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=117670
25095,25095-a.png,Antes Metrobus San Martín,Metrobus San Martín,Finalizada,Transporte,Ministerio de Desarrollo Urbano y Transporte,Este nuevo corredor de Metrobus es el primero en complementarse con intervenciones peatonales para hacer los cruces más seguros y beneficia a más de 70 mil personas todos los días.,,15,Agronomía,SAN MARTIN AV. 4549,-34.597496,-58.483745,,28/04/2016,,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt6/mduyt_metrobussanmartin_foto1.jpg,,,,,,,,,Sí,http://www.buenosaires.gob.ar/baobras/metrobus-san-martin,http://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/206
25095,25095-d.png,Despues Metrobus San Martín,Metrobus San Martín,Finalizada,Transporte,Ministerio de Desarrollo Urbano y Transporte,Este nuevo corredor de Metrobus es el primero en complementarse con intervenciones peatonales para hacer los cruces más seguros y beneficia a más de 70 mil personas todos los días.,,15,Agronomía,SAN MARTIN AV. 4549,-34.597496,-58.483745,,28/04/2016,,100,https://cdn2.buenosaires.gob.ar/baobras/mduyt6/mduyt_metrobussanmartin_foto1.jpg,,,,,,,,,Sí,http://www.buenosaires.gob.ar/baobras/metrobus-san-martin,http://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/206
25130,25130-a.png,Antes Plan Constitución,Entorno Constitución,En Licitación,Espacio Público,Ministerio de Ambiente y Espacio Público,Áreas Ambientales -Obra En El Marco Del Plan Integral Constitución,56525534,1,Constitución,,-34.627812,-58.382229,9/10/2018,09/08/2019,10,0,https://cdn2.buenosaires.gob.ar/baobras/genericas/generica_espaciopublico.png,,,,,,2018,,,,http://www.buenosaires.gob.ar/baobras/entorno-constitucion,http://cdn2.buenosaires.gob.ar/baobras/pliegos/PLIEG-2018-17039254-SSAGUEP.pdf
25130,25130-d.png,Despues Plan Constitución,Entorno Constitución,En Licitación,Espacio Público,Ministerio de Ambiente y Espacio Público,Áreas Ambientales -Obra En El Marco Del Plan Integral Constitución,56525534,1,Constitución,,-34.627812,-58.382229,9/10/2018,09/08/2019,10,0,https://cdn2.buenosaires.gob.ar/baobras/genericas/generica_espaciopublico.png,,,,,,2018,,,,http://www.buenosaires.gob.ar/baobras/entorno-constitucion,http://cdn2.buenosaires.gob.ar/baobras/pliegos/PLIEG-2018-17039254-SSAGUEP.pdf
