contacto,categoria,subcategoria,concepto,tipo_prestacion,fecha_ingreso,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto
00000001/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,NUÑEZ,"PAZ, GRAL. AV.",1020,App,masculino,Cerrado
00000002/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,NUÑEZ,VEDIA,2225,App,masculino,Cerrado
00000003/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,NUÑEZ,VUELTA DE OBLIGADO,4759,App,masculino,Cerrado
00000004/18,ARBOLADO Y ESPACIOS VERDES,PLANTACIÓN DE ÁRBOL,PLANTACIÓN DE ÁRBOL,SOLICITUD,2018-01-01,PALERMO,REPUBLICA DE LA INDIA,2866,App,masculino,Abierto
00000005/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,NUÑEZ,VEDIA,2225,App,masculino,Cerrado
00000006/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,CABALLITO,GUAYAQUIL,325,App,femenino,Cerrado
00000007/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-01-01,SAN NICOLÁS,URUGUAY AV.,753,Web,femenino,Cerrado
00000008/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,CABALLITO,HUALFIN,853,App,masculino,Cerrado
00000009/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,VILLA CRESPO,"JUSTO, JUAN B. AV.",2331,App,masculino,Cerrado
00000010/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-01-01,VILLA DEVOTO,"CABEZON, JOSE LEON",3600,App,masculino,Cerrado
00000011/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-01-01,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Cerrado
00000012/18,LIMPIEZA Y RECOLECCIÓN,CESTOS Y CONTENEDORES,INSTALACIÓN/REPARACIÓN DE CESTO PAPELERO,SOLICITUD,2018-01-01,PARQUE CHACABUCO,ASAMBLEA AV.,937,App,femenino,Cerrado
00314781/18,CALLES Y VEREDAS,REPARACIÓN DE BACHES,REPARACIÓN DE BACHE,SOLICITUD,2018-03-19,CABALLITO,PARRAL,73,147,femenino,Cerrado
00314786/18,ARBOLADO Y ESPACIOS VERDES,PODA DE ÁRBOL Y DESPEJE DE LUMINARIA,PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO,SOLICITUD,2018-03-19,AGRONOMÍA,ZAMUDIO,3272,147,femenino,Abierto
00314787/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,2018-03-19,LINIERS,PATRON,7262,147,femenino,Cerrado
00314788/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-03-19,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Abierto
00314789/18,CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2018-03-19,VILLA URQUIZA,JURAMENTO,4389,Comunas,femenino,Abierto
00314790/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-03-19,CABALLITO,FORMOSA,353,Web,femenino,Cerrado
00314794/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2018-03-19,VILLA DEVOTO,NOGOYA,3912,147,masculino,Cerrado
00314795/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,2018-03-19,VILLA ORTÚZAR,ZARRAGA,3740,147,femenino,Cerrado
00314796/18,CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2018-03-19,BELGRANO,DEL LIBERTADOR AV.,5921,147,femenino,Abierto
00314797/18,CALLES Y VEREDAS,RAMPAS DE ACCESIBILIDAD,REPARACIÓN DE RAMPA DE ACCESIBILIDAD,SOLICITUD,2018-03-19,BELGRANO,3 DE FEBRERO,2202,147,femenino,Abierto
00314798/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-03-19,VERSALLES,"GARCIA, JUAN AGUSTIN",5967,App,masculino,Cerrado
00314803/18,TRÁNSITO,SEMÁFOROS,REPARACIÓN DE SEMÁFORO,SOLICITUD,2018-03-19,RECOLETA,POSADAS,,147,femenino,Cerrado
00314804/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-03-19,BELGRANO,MONROE,1900,App,masculino,Cerrado
00314805/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-03-19,MONTE CASTRO,LASCANO,4350,App,masculino,Cerrado
00314807/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2018-03-19,RECOLETA,ARENALES,2275,147,masculino,Cerrado
00314809/18,CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2018-03-19,BOEDO,ALZAGA,2012,Web,masculino,Abierto
00314810/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,2018-03-19,CABALLITO,BOGOTA,139,147,femenino,Cerrado
00906246/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,RETIRO,"DELLA PAOLERA, CARLOS M.",299,Web,femenino,Cerrado
00906247/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Cerrado
00906248/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,MATADEROS,"SCHMIDL, ULRICO",7578,Web,masculino,Abierto
00906249/18,SEGURIDAD,PRESENCIA POLICIAL,MAYOR PRESENCIA POLICIAL,REPORTE,2018-07-31,BOEDO,"GARAY, JUAN DE AV.",3700,App,femenino,Abierto
